name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;561;0;561;3071;1506;3071;1183;0
header;58;161;58;195;1685;195;1685;161
A;1017;70;1017;72;1020;72;1020;70
A;860;228;860;256;881;256;881;228
A;844;445;844;449;847;449;847;445
B;1002;507;1002;526;1016;526;1016;507
D;681;731;681;756;710;756;710;731
B;864;907;864;936;883;936;883;907
A;764;945;764;946;766;946;766;945
A;869;1073;869;1074;871;1074;871;1073
C;768;2274;768;2318;800;2318;800;2274
B;696;2275;696;2317;723;2317;723;2275
A;1408;2393;1408;2399;1414;2399;1414;2393
D;994;2545;994;2592;1032;2592;1032;2545
B;711;2547;711;2589;742;2589;742;2547
B;1021;2755;1021;2776;1036;2776;1036;2755
