name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;965;0;1178;3072;1810;3072;1813;0
header;1813;1141;1813;1153;1821;1153;1821;1141
A;1801;185;1801;190;1807;190;1807;185
A;1456;281;1456;285;1458;285;1458;281
A;1461;283;1461;283;1462;283;1462;283
A;1728;468;1728;470;1732;470;1732;468
A;1165;475;1165;477;1176;477;1176;475
A;1711;1061;1711;1061;1714;1061;1714;1061
A;1807;1551;1807;1552;1807;1552;1807;1551
A;1810;1642;1810;1646;1811;1646;1811;1642
A;1809;1817;1809;1821;1810;1821;1810;1817
A;1810;1828;1810;1829;1810;1829;1810;1828
A;1810;1851;1810;1852;1810;1852;1810;1851
A;1806;1951;1806;1952;1806;1952;1806;1951
A;1809;2059;1809;2060;1809;2060;1809;2059
A;1449;2091;1449;2091;1449;2091;1449;2091
A;1428;2101;1428;2103;1429;2103;1429;2101
A;1311;2289;1311;2292;1314;2292;1314;2289
A;1808;2818;1808;2824;1812;2824;1812;2818
A;1736;2838;1736;2842;1743;2842;1743;2838
